ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema inicia la apertura del enlace embebido hacia el servicio B2C;;;;;;;;;;;
;;;3;Esperar la navegacion al servicio externo;El usuario visualiza la interfaz de B2C con las opciones de registrarse o iniciar sesion;;;;;;;;;;;
;;;4;Revisar la transicion y la informacion mostrada;La redireccion es transparente, no expone URLs internas, tokens ni parametros tecnicos y no solicita acciones tecnicas adicionales;;;;;;;;;;;
;Test Case;Validar envio del atributo de compania ESSA en la invocacion a B2C web;;;;Por Analizar;Integracion;Positiva;PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-03 El enlace de redireccion al servicio B2C debe estar configurado y parametrizado en el sistema, incluyendo el atributo de identificacion de la compania consumidora ESSA. PRE-04 El mecanismo tecnico de envio del atributo de compania debe estar definido conforme a la especificacion entregada por EPM.;La invocacion web al servicio B2C incluye el atributo parametrizado de compania con valor ESSA y mantiene la transmision segura.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Abrir la oficina virtual ESSA en navegador web;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema genera la invocacion al servicio B2C;;;;;;;;;;;
;;;3;Inspeccionar la solicitud enviada segun el mecanismo definido por EPM;La solicitud incluye el atributo de compania con valor ESSA y el nombre parametrizado configurado;;;;;;;;;;;
;;;4;Validar el canal de transmision;La invocacion se realiza mediante HTTPS sin exponer el atributo de forma insegura;;;;;;;;;;;
;Test Case;Validar envio del atributo de compania ESSA en la invocacion a B2C mobile;;;;Por Analizar;Integracion;Positiva;PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-03 El enlace de redireccion al servicio B2C debe estar configurado y parametrizado en el sistema, incluyendo el atributo de identificacion de la compania consumidora ESSA. PRE-04 El mecanismo tecnico de envio del atributo de compania debe estar definido conforme a la especificacion entregada por EPM.;La invocacion mobile al servicio B2C incluye el atributo parametrizado de compania con valor ESSA y mantiene la transmision segura.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Abrir la oficina virtual ESSA en dispositivo movil;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema genera la invocacion al servicio B2C;;;;;;;;;;;
;;;3;Inspeccionar la solicitud enviada segun el mecanismo definido por EPM;La solicitud incluye el atributo de compania con valor ESSA y el nombre parametrizado configurado;;;;;;;;;;;
;;;4;Validar el canal de transmision;La invocacion se realiza mediante HTTPS sin exponer el atributo de forma insegura;;;;;;;;;;;
;Test Case;Validar que el registro es gestionado exclusivamente por B2C en web;;;;Por Analizar;Integracion;Positiva;PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-03 El enlace de redireccion al servicio B2C debe estar configurado y parametrizado en el sistema, incluyendo el atributo de identificacion de la compania consumidora ESSA.;La oficina virtual delega completamente el registro a B2C y no captura ni valida datos del usuario en su interfaz web.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Abrir la oficina virtual ESSA en navegador web;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema redirige al servicio B2C;;;;;;;;;;;
;;;3;Revisar la interfaz previa y posterior a la redireccion;La oficina virtual no muestra formularios propios de registro ni solicita nombre, correo o contrasena antes de delegar el proceso;;;;;;;;;;;
;;;4;Completar el registro en B2C con datos validos;B2C ejecuta las validaciones de identidad, credenciales y confirmaciones sin intervencion funcional de la oficina virtual;;;;;;;;;;;
;Test Case;Validar que el registro es gestionado exclusivamente por B2C en mobile;;;;Por Analizar;Integracion;Positiva;PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-03 El enlace de redireccion al servicio B2C debe estar configurado y parametrizado en el sistema, incluyendo el atributo de identificacion de la compania consumidora ESSA.;La oficina virtual delega completamente el registro a B2C y no captura ni valida datos del usuario en su interfaz mobile.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Abrir la oficina virtual ESSA en dispositivo movil;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema redirige al servicio B2C;;;;;;;;;;;
;;;3;Revisar la interfaz previa y posterior a la redireccion;La oficina virtual no muestra formularios propios de registro ni solicita nombre, correo o contrasena antes de delegar el proceso;;;;;;;;;;;
;;;4;Completar el registro en B2C con datos validos;B2C ejecuta las validaciones de identidad, credenciales y confirmaciones sin intervencion funcional de la oficina virtual;;;;;;;;;;;
;Test Case;Validar retorno a login tras registro exitoso en web;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-06 El usuario no debe tener una sesion activa en la oficina virtual.;Tras un registro exitoso en B2C, el usuario retorna automaticamente al login web de ESSA listo para autenticarse con sus nuevas credenciales.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Abrir la oficina virtual ESSA en navegador web;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema redirige al servicio B2C;;;;;;;;;;;
;;;3;Completar el proceso de registro exitoso en B2C;B2C confirma el registro exitoso del usuario;;;;;;;;;;;
;;;4;Esperar la respuesta de retorno a la oficina virtual;El sistema redirige automaticamente al usuario a la pantalla de inicio de sesion de la oficina virtual;;;;;;;;;;;
;;;5;Verificar el estado final;El usuario queda listo para autenticarse con sus nuevas credenciales y no se inicia sesion automaticamente;;;;;;;;;;;
;Test Case;Validar retorno a login tras registro exitoso en mobile;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-06 El usuario no debe tener una sesion activa en la oficina virtual.;Tras un registro exitoso en B2C, el usuario retorna automaticamente al login mobile de ESSA listo para autenticarse con sus nuevas credenciales.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Abrir la oficina virtual ESSA en dispositivo movil;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema redirige al servicio B2C;;;;;;;;;;;
;;;3;Completar el proceso de registro exitoso en B2C;B2C confirma el registro exitoso del usuario;;;;;;;;;;;
;;;4;Esperar la respuesta de retorno a la oficina virtual;El sistema redirige automaticamente al usuario a la pantalla de inicio de sesion de la oficina virtual;;;;;;;;;;;
;;;5;Verificar el estado final;El usuario queda listo para autenticarse con sus nuevas credenciales y no se inicia sesion automaticamente;;;;;;;;;;;
;Test Case;Validar mensaje generico y reintento ante error de B2C en web;;;;Por Analizar;Integracion;Negativa;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-06 El usuario no debe tener una sesion activa en la oficina virtual.;Ante un error de B2C en web, la oficina virtual informa el fallo sin detalles tecnicos y permite reintentar el flujo de registro.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;2
;;;1;Abrir la oficina virtual ESSA en navegador web;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema redirige al servicio B2C;;;;;;;;;;;
;;;3;Provocar un error funcional o tecnico controlado en B2C;B2C retorna el resultado de error al flujo de la oficina virtual;;;;;;;;;;;
;;;4;Validar el mensaje mostrado al usuario;Se muestra un mensaje informativo generico indicando que no fue posible completar el registro sin exponer detalles tecnicos;;;;;;;;;;;
;;;5;Seleccionar la opcion de reintento disponible;El usuario puede reiniciar la operacion desde la misma pantalla;;;;;;;;;;;
;Test Case;Validar mensaje generico y reintento ante error de B2C en mobile;;;;Por Analizar;Integracion;Negativa;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-06 El usuario no debe tener una sesion activa en la oficina virtual.;Ante un error de B2C en mobile, la oficina virtual informa el fallo sin detalles tecnicos y permite reintentar el flujo de registro.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;2
;;;1;Abrir la oficina virtual ESSA en dispositivo movil;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema redirige al servicio B2C;;;;;;;;;;;
;;;3;Provocar un error funcional o tecnico controlado en B2C;B2C retorna el resultado de error al flujo de la oficina virtual;;;;;;;;;;;
;;;4;Validar el mensaje mostrado al usuario;Se muestra un mensaje informativo generico indicando que no fue posible completar el registro sin exponer detalles tecnicos;;;;;;;;;;;
;;;5;Seleccionar la opcion de reintento disponible;El usuario puede reiniciar la operacion desde la misma pantalla;;;;;;;;;;;
;Test Case;Validar cancelacion del flujo de registro en web;;;;Por Analizar;Integracion;Negativa;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-06 El usuario no debe tener una sesion activa en la oficina virtual.;Si el usuario cancela en B2C desde web, el sistema retorna al login sin crear sesion activa ni persistir datos parciales.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;2
;;;1;Abrir la oficina virtual ESSA en navegador web;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema redirige al servicio B2C;;;;;;;;;;;
;;;3;Cancelar el flujo de registro desde B2C;B2C retorna el resultado de cancelacion hacia la oficina virtual;;;;;;;;;;;
;;;4;Esperar la navegacion de retorno;El sistema redirige al usuario a la pantalla de inicio de sesion de la oficina virtual;;;;;;;;;;;
;;;5;Verificar el estado final;No se crea sesion activa ni se persisten datos parciales del usuario;;;;;;;;;;;
;Test Case;Validar cancelacion del flujo de registro en mobile;;;;Por Analizar;Integracion;Negativa;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-06 El usuario no debe tener una sesion activa en la oficina virtual.;Si el usuario cancela en B2C desde mobile, el sistema retorna al login sin crear sesion activa ni persistir datos parciales.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;2
;;;1;Abrir la oficina virtual ESSA en dispositivo movil;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema redirige al servicio B2C;;;;;;;;;;;
;;;3;Cancelar el flujo de registro desde B2C;B2C retorna el resultado de cancelacion hacia la oficina virtual;;;;;;;;;;;
;;;4;Esperar la navegacion de retorno;El sistema redirige al usuario a la pantalla de inicio de sesion de la oficina virtual;;;;;;;;;;;
;;;5;Verificar el estado final;No se crea sesion activa ni se persisten datos parciales del usuario;;;;;;;;;;;
;Test Case;Validar registro de auditoria para intento exitoso de registro;;;;Por Analizar;Integracion;Positiva;PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-05 El servicio de registro de auditoria ESD-187 debe estar implementado y disponible para registrar los eventos de esta funcionalidad.;El sistema registra la auditoria del intento exitoso de registro con los atributos minimos definidos para el evento.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Ingresar al Microsoft Azure https://portal.azure.com/#home;Se visualiza el home de ESSA;;;;;;;;;;;
;;;2;En los recursos seleccionar el de tipo Application Insights;Se visualiza el menu y la informacion general;;;;;;;;;;;
;;;3;Del menu lateral izquierdo seleccionar la opcion Supervision y luego la opcion Registros;Se visualiza modal Centro de consultas;;;;;;;;;;;
;;;4;Cerrar el Centro de consultas y luego seleccionar el boton Seleccionar una tabla;Se despliegan las tablas del Application Insights;;;;;;;;;;;
;;;5;En la tabla de traces buscar el log de auditoria del registro exitoso y validar fecha de registro, canal, dispositivo, IP publica, usuario cuando aplique, servicio, verbo HTTP, resultado HTTP, estado e identificador unico;Se confirma que el log esta copiando toda la informacion correspondiente al evento exitoso generado;;;;;;;;;;;
;Test Case;Validar registro de auditoria para intento fallido de registro;;;;Por Analizar;Integracion;Negativa;PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-05 El servicio de registro de auditoria ESD-187 debe estar implementado y disponible para registrar los eventos de esta funcionalidad.;El sistema registra la auditoria del intento fallido de registro con los atributos minimos definidos para el evento.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;2
;;;1;Ingresar al Microsoft Azure https://portal.azure.com/#home;Se visualiza el home de ESSA;;;;;;;;;;;
;;;2;En los recursos seleccionar el de tipo Application Insights;Se visualiza el menu y la informacion general;;;;;;;;;;;
;;;3;Del menu lateral izquierdo seleccionar la opcion Supervision y luego la opcion Registros;Se visualiza modal Centro de consultas;;;;;;;;;;;
;;;4;Cerrar el Centro de consultas y luego seleccionar el boton Seleccionar una tabla;Se despliegan las tablas del Application Insights;;;;;;;;;;;
;;;5;En la tabla de traces buscar el log de auditoria del registro fallido y validar fecha de registro, canal, dispositivo, IP publica, correo cuando aplique, servicio, verbo HTTP, codigo HTTP, mensaje de error e identificador unico;Se confirma que el log esta copiando toda la informacion correspondiente al error generado;;;;;;;;;;;
;Test Case;Validar registro de auditoria para intento cancelado de registro;;;;Por Analizar;Integracion;Negativa;PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-05 El servicio de registro de auditoria ESD-187 debe estar implementado y disponible para registrar los eventos de esta funcionalidad.;El sistema registra la auditoria del intento cancelado de registro con los atributos minimos definidos para el evento.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;2
;;;1;Ingresar al Microsoft Azure https://portal.azure.com/#home;Se visualiza el home de ESSA;;;;;;;;;;;
;;;2;En los recursos seleccionar el de tipo Application Insights;Se visualiza el menu y la informacion general;;;;;;;;;;;
;;;3;Del menu lateral izquierdo seleccionar la opcion Supervision y luego la opcion Registros;Se visualiza modal Centro de consultas;;;;;;;;;;;
;;;4;Cerrar el Centro de consultas y luego seleccionar el boton Seleccionar una tabla;Se despliegan las tablas del Application Insights;;;;;;;;;;;
;;;5;En la tabla de traces buscar el log de auditoria del registro cancelado y validar fecha de registro, canal, dispositivo, IP publica, usuario cuando aplique, servicio, verbo HTTP, resultado HTTP, estado e identificador unico;Se confirma que el log esta copiando toda la informacion correspondiente a la cancelacion generada;;;;;;;;;;;
;Test Case;Validar tolerancia si el servicio de auditoria no esta disponible;;;;Por Analizar;Integracion;Negativa;PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-03 El enlace de redireccion al servicio B2C debe estar configurado y parametrizado en el sistema, incluyendo el atributo de identificacion de la compania consumidora ESSA.;Si falla el servicio de auditoria, el flujo principal de redireccion y retorno de registro no se interrumpe y el error queda en el log tecnico.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;2
;;;1;Abrir la oficina virtual ESSA en navegador web;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Simular indisponibilidad del servicio de auditoria;El sistema mantiene disponible el flujo principal de registro;;;;;;;;;;;
;;;3;Seleccionar la opcion Iniciar sesion o registrarse y completar el flujo esperado;La operacion principal de registro continua sin interrupcion por la falla del servicio de auditoria;;;;;;;;;;;
;;;4;Revisar el registro tecnico de la plataforma;La falla del servicio de auditoria queda registrada en el log tecnico sin mostrarse al usuario;;;;;;;;;;;
;Test Case;Validar tiempo de redireccion a B2C menor o igual a 3 segundos;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-03 El enlace de redireccion al servicio B2C debe estar configurado y parametrizado en el sistema, incluyendo el atributo de identificacion de la compania consumidora ESSA.;La redireccion inicial al servicio B2C cumple el tiempo maximo permitido sin degradar la experiencia del usuario.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;2
;;;1;Abrir la oficina virtual ESSA en navegador web;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Iniciar la medicion de tiempo y seleccionar Iniciar sesion o registrarse;Se activa la navegacion al servicio B2C;;;;;;;;;;;
;;;3;Detener la medicion cuando se visualiza la pantalla de B2C;El tiempo transcurrido es menor o igual a 3 segundos;;;;;;;;;;;
;Test Case;Validar tiempo de retorno desde B2C menor o igual a 3 segundos;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual.;El retorno desde B2C hacia la oficina virtual para registro exitoso, error o cancelacion cumple el tiempo maximo permitido.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;2
;;;1;Abrir la oficina virtual ESSA en navegador web y acceder al servicio B2C;Se visualiza la pantalla de B2C;;;;;;;;;;;
;;;2;Ejecutar un resultado de registro exitoso, error o cancelacion e iniciar la medicion de tiempo en la respuesta;Se activa la navegacion de retorno hacia la oficina virtual;;;;;;;;;;;
;;;3;Detener la medicion cuando se visualiza la pantalla de inicio de sesion de ESSA;El tiempo transcurrido es menor o igual a 3 segundos;;;;;;;;;;;
;Test Case;Validar acceso por teclado y legibilidad del login web;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-06 El usuario no debe tener una sesion activa en la oficina virtual.;La pantalla web cumple criterios basicos de accesibilidad para el acceso al flujo de registro.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;3
;;;1;Abrir la oficina virtual ESSA en navegador web;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Navegar mediante teclado hasta la opcion Iniciar sesion o registrarse;El foco llega al control en orden logico y permite su activacion;;;;;;;;;;;
;;;3;Revisar contraste y tamano de fuente del contenido visible;Los textos son legibles y el contraste visual permite identificar el control y su estado;;;;;;;;;;;
;Test Case;Validar compatibilidad del flujo de registro en navegadores soportados;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual.;El flujo de acceso a registro funciona correctamente en los navegadores principales soportados.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;3
;;;1;Ejecutar el flujo de acceso a registro en Chrome;La opcion redirige correctamente a B2C y retorna a la oficina virtual segun el resultado obtenido;;;;;;;;;;;
;;;2;Ejecutar el flujo de acceso a registro en Firefox;La opcion redirige correctamente a B2C y retorna a la oficina virtual segun el resultado obtenido;;;;;;;;;;;
;;;3;Ejecutar el flujo de acceso a registro en Edge;La opcion redirige correctamente a B2C y retorna a la oficina virtual segun el resultado obtenido;;;;;;;;;;;
;;;4;Ejecutar el flujo de acceso a registro en Safari cuando el alcance de pruebas lo contemple;La opcion redirige correctamente a B2C y retorna a la oficina virtual segun el resultado obtenido;;;;;;;;;;;
;Test Case;Validar flujo responsive del acceso a registro web;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-06 El usuario no debe tener una sesion activa en la oficina virtual.;La aplicacion web adapta correctamente el acceso a registro en distintos anchos de pantalla sin perder funcionalidad ni legibilidad.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;3
;;;1;Abrir la oficina virtual ESSA en navegador web con resolucion desktop;La opcion Iniciar sesion o registrarse se visualiza alineada y usable;;;;;;;;;;;
;;;2;Cambiar la resolucion a un ancho responsive soportado;Los elementos se reorganizan sin superposiciones ni cortes visuales;;;;;;;;;;;
;;;3;Seleccionar la opcion Iniciar sesion o registrarse en el ancho responsive;La redireccion a B2C se ejecuta correctamente desde la vista responsive;;;;;;;;;;;
;Test Case;Validar diseno de login segun figma en web;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil.;La pantalla de login web cumple el diseno aprobado en figma para acceso a registro.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;3
;;;1;Abrir la oficina virtual ESSA en navegador web;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Comparar la pantalla con el diseno figma aprobado para web;La alineacion, tipografia, colores, iconos y ubicacion de elementos coinciden con la referencia;;;;;;;;;;;
;;;3;Validar la opcion Iniciar sesion o registrarse dentro del conjunto visual;El control mantiene consistencia visual con el UI kit y la jerarquia definida en figma;;;;;;;;;;;
;Test Case;Validar diseno de login segun figma en mobile;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil.;La pantalla de login mobile cumple el diseno aprobado en figma para acceso a registro.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;3
;;;1;Abrir la oficina virtual ESSA en dispositivo movil;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Comparar la pantalla con el diseno figma aprobado para mobile;La alineacion, tipografia, colores, iconos y ubicacion de elementos coinciden con la referencia;;;;;;;;;;;
;;;3;Validar la opcion Iniciar sesion o registrarse dentro del conjunto visual;El control mantiene consistencia visual con el UI kit y la jerarquia definida en figma;;;;;;;;;;;
;Test Case;Validar que el correo de bienvenida es responsabilidad de B2C;;;;Por Analizar;Integracion;Positiva;PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-06 El usuario no debe tener una sesion activa en la oficina virtual.;Tras el registro exitoso, el correo de bienvenida se genera desde B2C y la oficina virtual no ejecuta un envio propio.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;2
;;;1;Abrir la oficina virtual ESSA en navegador web;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse y completar un registro exitoso en B2C;B2C confirma el alta del nuevo usuario;;;;;;;;;;;
;;;3;Revisar el comportamiento de la oficina virtual despues del retorno;La oficina virtual solo redirige al login y no muestra ni ejecuta acciones propias de envio de correo;;;;;;;;;;;
;;;4;Verificar la recepcion del correo de bienvenida en la bandeja del usuario;El correo de bienvenida es recibido como resultado del proceso gestionado por B2C;;;;;;;;;;;
